MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn
61,1524.2401369060922,101,0.819672131147541,1524.240136906092,61,3313.0872613740416,0.819672131147541,918860,1053.4217229943372,392.8519876234693,3313.0872613740416,392.8519876234693,1524.2401369060922,1524.240136906092,101,1053.4217229943372
102,984.226312546004,102,0.9509803921568627,984.226312546004,102,3328.091077726466,0.9509803921568627,927768,703.6883626926408,134.75826264046788,3328.091077726466,134.75826264046788,984.226312546004,984.226312546004,102,703.6883626926408
119,855.9393537414559,103,1.0,855.939353741456,119,3373.2750057871963,1.0,936880,468.68835680055685,98.54179828740043,3373.2750057871963,98.54179828740043,855.9393537414559,855.939353741456,103,468.68835680055685
82,1363.1451660794075,104,0.8536585365853658,1363.1451660794073,82,3343.746543156554,0.8536585365853658,946897,959.5541269565794,109.96314220548818,3343.746543156554,109.96314220548818,1363.1451660794075,1363.1451660794073,104,959.5541269565794
94,1053.8470558010295,105,0.925531914893617,1053.8470558010292,94,3260.4163089951458,0.925531914893617,956120,746.5411378868216,163.72910599274795,3260.4163089951458,163.72910599274795,1053.8470558010295,1053.8470558010292,105,746.5411378868216
107,900.9676491616839,106,1.0,900.9676491616839,107,2351.8853825072774,1.0,965936,361.06944585968773,128.74314381646667,2351.8853825072774,128.74314381646667,900.9676491616839,900.9676491616839,106,361.06944585968773
97,1015.7381910375613,107,0.9690721649484536,1015.738191037561,97,3316.4947827385054,0.9690721649484536,977120,584.0113349903428,144.12484327947143,3316.4947827385054,144.12484327947143,1015.7381910375613,1015.738191037561,107,584.0113349903428
95,1032.823588545655,108,0.9578947368421052,1032.8235885456547,95,3506.4682910729675,0.9578947368421052,985861,659.1111786576201,143.4676594168695,3506.4682910729675,143.4676594168695,1032.823588545655,1032.8235885456547,108,659.1111786576201
92,1177.9814035971417,109,0.9456521739130435,1177.9814035971415,92,3516.4637214286236,0.9456521739130435,995730,778.5987525562455,123.59839147402745,3516.4637214286236,123.59839147402745,1177.9814035971417,1177.9814035971415,109,778.5987525562455
164,551.5182270566976,110,1.0,551.5182270566976,164,2222.977273192539,1.0,1005874,359.04445803879224,103.1341401385228,2222.977273192539,103.1341401385228,551.5182270566976,551.5182270566976,110,359.04445803879224
139,631.6261914318229,111,1.0,631.6261914318229,139,1974.7578845456792,1.0,1014844,233.88753696444823,136.62613825091867,1974.7578845456792,136.62613825091867,631.6261914318229,631.6261914318229,111,233.88753696444823
116,824.7302848716074,112,0.9827586206896551,824.7302848716072,116,3290.782243434373,0.9827586206896551,1024429,364.7373353527508,532.3171859814234,3290.782243434373,532.3171859814234,824.7302848716074,824.7302848716072,112,364.7373353527508
124,749.0794945807991,113,1.0,749.0794945807991,124,1777.2304899661958,1.0,1033025,193.9220802325935,431.1532739076886,1777.2304899661958,431.1532739076886,749.0794945807991,749.0794945807991,113,193.9220802325935
117,812.7686422722886,114,1.0,812.7686422722887,117,1714.884995594283,1.0,1041961,203.7498435930837,500.3419153653865,1714.884995594283,500.3419153653865,812.7686422722886,812.7686422722887,114,203.7498435930837
106,925.5702355857865,115,0.9811320754716981,925.5702355857866,106,3273.7272348190313,0.9811320754716981,1051009,518.3515961229533,545.2815720555142,3273.7272348190313,545.2815720555142,925.5702355857865,925.5702355857866,115,518.3515961229533
102,1009.398826757712,116,0.9803921568627451,1009.3988267577118,102,3359.3063703901366,0.9803921568627451,1058752,536.5912785059562,442.2270600817603,3359.3063703901366,442.2270600817603,1009.398826757712,1009.3988267577118,116,536.5912785059562
118,782.5142303606689,117,1.0,782.5142303606689,118,2967.078217158688,1.0,1068234,347.58588408221544,434.39616396659636,2967.078217158688,434.39616396659636,782.5142303606689,782.5142303606689,117,347.58588408221544
115,839.143566359159,118,1.0,839.143566359159,115,1452.382326549844,1.0,1076572,166.8373277305747,521.5423622900581,1452.382326549844,521.5423622900581,839.143566359159,839.143566359159,118,166.8373277305747
