MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
81,443.4633006606247,335.6335862691316,1.0,130,443.4633006606247,712542,86.26228592531666,443.4633006606247,335.6335862691316,81,1900.511639501999,1900.511639501999,1.0,86.26228592531666,130,443.4633006606247
82,482.94883935718565,303.42232871260114,1.0,119,482.94883935718565,720773,72.48597255289057,482.94883935718565,303.42232871260114,82,1505.1627354391967,1505.1627354391967,1.0,72.48597255289057,119,482.94883935718565
83,417.31889458082827,214.6954426779852,1.0,138,417.31889458082827,729302,-3.830787738456768,417.31889458082827,214.6954426779852,83,1207.2389138793678,1207.2389138793678,1.0,-3.830787738456768,138,417.31889458082827
84,485.83592539846427,295.24506037179975,1.0,114,485.8359253984642,737962,-0.09020074401118106,485.83592539846427,295.24506037179975,84,1463.6804783501402,1463.6804783501402,1.0,-0.09020074401118106,114,485.8359253984642
85,452.4637525632008,309.66553203501644,1.0,130,452.46375256320067,747323,-5.404461077325223,452.4637525632008,309.66553203501644,85,1672.2189245910213,1672.2189245910213,1.0,-5.404461077325223,130,452.46375256320067
86,463.8464626097846,288.8430921218423,1.0,121,463.8464626097847,755931,77.87388864796233,463.8464626097846,288.8430921218423,86,1370.773032305342,1370.773032305342,1.0,77.87388864796233,121,463.8464626097847
87,543.0575244518449,446.64727292566437,1.0,123,543.0575244518446,764837,16.081533918418103,543.0575244518449,446.64727292566437,87,2993.2652708415853,2993.2652708415853,1.0,16.081533918418103,123,543.0575244518446
88,421.5050306467987,259.2197264016529,1.0,140,421.5050306467987,774413,86.97134822972289,421.5050306467987,259.2197264016529,88,1433.8747783955696,1433.8747783955696,1.0,86.97134822972289,140,421.5050306467987
89,464.18599928122455,298.45215787408233,1.0,131,464.18599928122455,782428,-2.579656129478505,464.18599928122455,298.45215787408233,89,1769.499611627019,1769.499611627019,1.0,-2.579656129478505,131,464.18599928122455
90,453.9754915116134,289.2044166988878,1.0,128,453.9754915116134,790680,-4.305575730849591,453.9754915116134,289.2044166988878,90,1592.0754624289602,1592.0754624289602,1.0,-4.305575730849591,128,453.9754915116134
91,476.120058383587,315.1206028025912,1.0,136,476.120058383587,799981,90.69173663502195,476.120058383587,315.1206028025912,91,1529.870879395698,1529.870879395698,1.0,90.69173663502195,136,476.120058383587
92,596.6361414495371,444.8059786103809,1.0,115,596.6361414495371,808822,90.87263877278325,596.6361414495371,444.8059786103809,92,2163.2262344393725,2163.2262344393725,1.0,90.87263877278325,115,596.6361414495371
93,526.3232539096373,399.06493415681695,1.0,119,526.3232539096374,817551,-6.058839415376853,526.3232539096373,399.06493415681695,93,1626.6452354272371,1626.6452354272371,1.0,-6.058839415376853,119,526.3232539096374
94,589.4843778480658,352.94393940343804,1.0,111,589.484377848066,825960,67.84895563416093,589.4843778480658,352.94393940343804,94,1812.1583521216023,1812.1583521216023,1.0,67.84895563416093,111,589.484377848066
95,720.0244888033121,520.2810282337666,1.0,104,720.0244888033121,834470,79.9997627177099,720.0244888033121,520.2810282337666,95,2282.5308228181525,2282.5308228181525,1.0,79.9997627177099,104,720.0244888033121
96,897.901904777262,626.1925886621926,0.9891304347826086,92,897.901904777262,843454,81.17074609127438,897.901904777262,626.1925886621926,96,2783.003871077726,2783.003871077726,0.9891304347826086,81.17074609127438,92,897.901904777262
97,811.3002904923852,682.1490447066624,0.9894736842105263,95,811.3002904923853,852821,-2.1674605539027962,811.3002904923852,682.1490447066624,97,2957.8288570336535,2957.8288570336535,0.9894736842105263,-2.1674605539027962,95,811.3002904923853
98,878.1171273553122,636.519902145038,0.9888888888888889,90,878.1171273553122,861584,84.3299771642319,878.1171273553122,636.519902145038,98,2806.4861733062176,2806.4861733062176,0.9888888888888889,84.3299771642319,90,878.1171273553122
99,814.8426562677793,761.6283684275849,0.9702970297029703,101,814.8426562677794,870751,-1.357160674048605,814.8426562677793,761.6283684275849,99,3458.61986117778,3458.61986117778,0.9702970297029703,-1.357160674048605,101,814.8426562677794
100,868.1222570364985,707.0653683231162,0.989010989010989,91,868.1222570364987,880327,2.3478545381414593,868.1222570364985,707.0653683231162,100,3150.319347767804,3150.319347767804,0.989010989010989,2.3478545381414593,91,868.1222570364987
101,1040.212789897348,751.095443674637,0.9878048780487805,82,1040.212789897348,889986,-1.2751693150653594,1040.212789897348,751.095443674637,101,3572.4985500631683,3572.4985500631683,0.9878048780487805,-1.2751693150653594,82,1040.212789897348
102,1046.7423951658795,734.127967576475,0.9871794871794872,78,1046.74239516588,899026,86.87470908341338,1046.7423951658795,734.127967576475,102,3203.8683914807925,3203.8683914807925,0.9871794871794872,86.87470908341338,78,1046.74239516588
103,831.6054963968296,758.7313091029849,0.9895833333333334,96,831.6054963968296,907771,-5.71702481569927,831.6054963968296,758.7313091029849,103,3143.045132052307,3143.045132052307,0.9895833333333334,-5.71702481569927,96,831.6054963968296
