MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/MaxReturn
112,98,403.92090395456626,403.92090395456626,2581.7316952037822,767.8713341420171,767.8713341420171,47.45068846236784,1.0,47.45068846236784,98,767.8713341420171,112,767.8713341420171,1.0,851276,2581.7316952037822
121,99,320.55517416040084,320.55517416040084,1571.9232696072897,720.3856695886024,720.3856695886025,22.464217824964877,1.0,22.464217824964877,99,720.3856695886025,121,720.3856695886024,1.0,859325,1571.9232696072897
124,100,394.33825979085844,394.33825979085844,2379.2287717202353,697.6911744416487,697.6911744416487,7.763989456432094,1.0,7.763989456432094,100,697.6911744416487,124,697.6911744416487,1.0,867270,2379.2287717202353
114,101,374.76140002444413,374.76140002444413,1655.554627249908,770.0014571312771,770.0014571312768,9.82247354782464,1.0,9.82247354782464,101,770.0014571312768,114,770.0014571312771,1.0,875366,1655.554627249908
126,102,396.9520416472166,396.9520416472166,1840.5129702667928,679.4858108546612,679.4858108546612,5.7611151920663435,1.0,5.7611151920663435,102,679.4858108546612,126,679.4858108546612,1.0,883806,1840.5129702667928
124,103,336.61477343707344,336.61477343707344,1566.01186120325,768.2117218505144,768.2117218505142,11.373182083504847,1.0,11.373182083504847,103,768.2117218505142,124,768.2117218505144,1.0,892492,1566.01186120325
96,104,472.0367033806233,472.0367033806233,2199.9459928941656,970.9274180631355,970.9274180631355,16.201132094434602,1.0,16.201132094434602,104,970.9274180631355,96,970.9274180631355,1.0,900345,2199.9459928941656
130,105,499.6799520478151,499.6799520478151,2498.947600490802,682.2252295933075,682.2252295933075,8.342231495322954,1.0,8.342231495322954,105,682.2252295933075,130,682.2252295933075,1.0,908655,2498.947600490802
99,106,404.49185195238016,404.49185195238016,1922.7470340380612,886.0117950517376,886.0117950517375,8.305476374620559,1.0,8.305476374620559,106,886.0117950517375,99,886.0117950517376,1.0,917180,1922.7470340380612
112,107,367.7933181276221,367.7933181276221,2138.3654081883387,845.4970395272325,845.4970395272325,9.050293947159753,1.0,9.050293947159753,107,845.4970395272325,112,845.4970395272325,1.0,925581,2138.3654081883387
124,108,437.4447743423927,437.4447743423927,2000.3782778318935,705.4725709139761,705.472570913976,5.534596262210119,1.0,5.534596262210119,108,705.472570913976,124,705.4725709139761,1.0,934867,2000.3782778318935
135,109,542.0175972289351,542.0175972289351,2471.7893441627566,688.1532588675075,688.1532588675075,8.689111058170743,1.0,8.689111058170743,109,688.1532588675075,135,688.1532588675075,1.0,943521,2471.7893441627566
101,110,533.609520513617,533.609520513617,2707.035050404031,963.893415192136,963.8934151921358,12.37564145555295,1.0,12.37564145555295,110,963.8934151921358,101,963.893415192136,1.0,951799,2707.035050404031
120,111,557.6441117923582,557.6441117923582,2685.839405092248,862.2827842952748,862.2827842952748,12.957836163857834,1.0,12.957836163857834,111,862.2827842952748,120,862.2827842952748,1.0,960867,2685.839405092248
130,112,443.3142395262764,443.3142395262764,1700.0376931672981,693.1909185325958,693.1909185325958,20.951687299223774,1.0,20.951687299223774,112,693.1909185325958,130,693.1909185325958,1.0,969786,1700.0376931672981
