MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
594.1023623864983,890.9694574581982,195.75107466307367,1559.298745923583,1.0,108,889465,95,108,1559.298745923583,890.9694574581981,1.0,95,890.9694574581982,195.75107466307367,594.1023623864983,890.9694574581981
595.7899892543629,866.3629250384918,124.90260535847837,1219.8748662795297,1.0,109,898550,96,109,1219.8748662795297,866.3629250384918,1.0,96,866.3629250384918,124.90260535847837,595.7899892543629,866.3629250384918
402.64988042560134,882.6244767864636,198.1833294601663,2089.5183557463756,1.0,106,908119,97,106,2089.5183557463756,882.6244767864634,1.0,97,882.6244767864636,198.1833294601663,402.64988042560134,882.6244767864634
28.614649451755827,867.1572684881163,290.1323757033629,2497.8862668706124,1.0,114,918627,98,114,2497.8862668706124,867.1572684881165,1.0,98,867.1572684881163,290.1323757033629,28.614649451755827,867.1572684881165
640.299315042434,1001.4579415761064,198.41220836054234,2113.439111636446,1.0,98,928825,99,98,2113.439111636446,1001.4579415761064,1.0,99,1001.4579415761064,198.41220836054234,640.299315042434,1001.4579415761064
32.500278918890864,1279.8464293888082,706.0892861387529,3306.679757423957,0.9367088607594937,79,939056,100,79,3306.679757423957,1279.846429388808,0.9367088607594937,100,1279.8464293888082,706.0892861387529,32.500278918890864,1279.846429388808
620.6658191774253,1005.0244681401197,319.6447014279475,2829.492129246301,1.0,100,948190,101,100,2829.492129246301,1005.0244681401196,1.0,101,1005.0244681401197,319.6447014279475,620.6658191774253,1005.0244681401196
585.3109442902137,916.8739432541415,196.25935510906382,1540.6854557591885,1.0,108,958510,102,108,1540.6854557591885,916.8739432541414,1.0,102,916.8739432541415,196.25935510906382,585.3109442902137,916.8739432541414
602.2670062942374,996.9399494693348,303.779957348946,2698.8583507084663,1.0,97,967050,103,97,2698.8583507084663,996.9399494693348,1.0,103,996.9399494693348,303.779957348946,602.2670062942374,996.9399494693348
709.793785014686,1088.750362682581,374.85753727071756,3137.375365484972,1.0,91,977526,104,91,3137.375365484972,1088.750362682581,1.0,104,1088.750362682581,374.85753727071756,709.793785014686,1088.750362682581
