MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
98,625.3994255874119,98,625.3994255874119,27.29369123521497,762.627241308665,2667.4429566182207,762.627241308665,2667.4429566182207,762.627241308665,86,0.9795918367346939,27.29369123521497,823768,0.9795918367346939,86,762.627241308665
84,804.8814118665204,84,804.8814118665204,28.022271650564353,903.9473289591756,3338.247050033228,903.9473289591756,3338.247050033228,903.9473289591756,87,0.9642857142857143,28.022271650564353,832370,0.9642857142857143,87,903.9473289591756
80,713.5811070070547,80,713.5811070070547,26.655128228286724,1023.6763157558586,3092.2402044561,1023.6763157558586,3092.2402044561,1023.6763157558586,88,0.95,26.655128228286724,841821,0.95,88,1023.6763157558586
113,464.3428681648608,113,464.3428681648608,28.891422867551867,593.1046209719588,2067.8058358194826,593.1046209719588,2067.8058358194826,593.1046209719589,89,0.9911504424778761,28.891422867551867,852929,0.9911504424778761,89,593.1046209719589
121,589.1044372344933,121,589.1044372344933,14.882554485872939,612.935661788978,2858.1883683424585,612.935661788978,2858.1883683424585,612.9356617889779,90,0.9917355371900827,14.882554485872939,862563,0.9917355371900827,90,612.9356617889779
120,588.9394964676801,120,588.9394964676801,15.183052949609863,589.1737627605278,2834.3475672868612,589.1737627605278,2834.3475672868612,589.1737627605277,91,1.0,15.183052949609863,873584,1.0,91,589.1737627605277
118,569.6989245344471,118,569.6989245344471,20.950480630200943,565.2556237261543,2815.771975866775,565.2556237261543,2815.771975866775,565.2556237261543,92,1.0,20.950480630200943,884472,1.0,92,565.2556237261543
120,565.3620947889602,120,565.3620947889602,26.687699415364666,600.0736636153721,2909.8252100496134,600.0736636153721,2909.8252100496134,600.0736636153721,93,1.0,26.687699415364666,896056,1.0,93,600.0736636153721
125,592.1715225055107,125,592.1715225055107,25.0875950192279,569.4784431684047,2857.227835389617,569.4784431684047,2857.227835389617,569.4784431684046,94,1.0,25.0875950192279,905824,1.0,94,569.4784431684046
100,835.2108517540814,100,835.2108517540814,19.674775426125848,853.1116463564717,3566.8632105689194,853.1116463564717,3566.8632105689194,853.1116463564716,95,0.96,19.674775426125848,914853,0.96,95,853.1116463564716
124,699.1684909554305,124,699.1684909554305,17.049941753515505,610.3334822228305,3250.8179560307785,610.3334822228305,3250.8179560307785,610.3334822228305,96,0.967741935483871,17.049941753515505,924394,0.967741935483871,96,610.3334822228305
139,513.5808009066084,139,513.5808009066084,-25.60433019567786,443.91193423225224,3144.133593250324,443.91193423225224,3144.133593250324,443.9119342322523,97,1.0,-25.60433019567786,934692,1.0,97,443.9119342322523
118,615.1907133151634,118,615.1907133151634,-84.90607696472443,534.552417350996,3009.0380450159005,534.552417350996,3009.0380450159005,534.552417350996,98,0.9915254237288136,-84.90607696472443,944278,0.9915254237288136,98,534.552417350996
113,753.9211454949691,113,753.9211454949691,0.4671319983706983,643.969318839544,3120.21623357194,643.969318839544,3120.21623357194,643.9693188395439,99,0.9911504424778761,0.4671319983706983,953190,0.9911504424778761,99,643.9693188395439
144,555.3637389366434,144,555.3637389366434,5.349395858865105,432.4834145306793,2708.1255062576997,432.4834145306793,2708.1255062576997,432.4834145306793,100,0.9930555555555556,5.349395858865105,964736,0.9930555555555556,100,432.4834145306793
120,610.9853662858366,120,610.9853662858366,14.985462178494986,528.7164286196786,2898.899398314655,528.7164286196786,2898.899398314655,528.7164286196785,101,1.0,14.985462178494986,975212,1.0,101,528.7164286196785
