MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn
1.0,527.756475216847,338.6431490465785,929.6901634207893,103,929.6901634207893,708563,2131.303587048402,929.6901634207893,103,2131.303587048402,1.0,78,338.6431490465785,929.6901634207893,78,527.756475216847
0.9736842105263158,249.7192963577075,501.76824810350337,1255.375946187704,76,1255.375946187704,716328,3207.2034507661674,1255.3759461877037,76,3207.2034507661674,0.9736842105263158,79,501.76824810350337,1255.3759461877037,79,249.7192963577075
0.9887640449438202,419.8340987807101,464.7575203115017,1116.3352445993773,89,1116.3352445993773,724606,3195.3003774698586,1116.3352445993773,89,3195.3003774698586,0.9887640449438202,80,464.7575203115017,1116.3352445993773,80,419.8340987807101
1.0,711.5153163300256,431.1635827431292,1241.9883551923315,81,1241.9883551923315,733046,2857.3070494069384,1241.9883551923315,81,2857.3070494069384,1.0,81,431.1635827431292,1241.9883551923315,81,711.5153163300256
1.0,624.0688057194416,352.062058903979,1060.5417841356018,91,1060.5417841356018,741683,2261.6613599910065,1060.5417841356018,91,2261.6613599910065,1.0,82,352.062058903979,1060.5417841356018,82,624.0688057194416
1.0,736.3210151951612,447.01614596590696,1181.9027328487682,78,1181.9027328487682,750677,2499.814665100867,1181.9027328487682,78,2499.814665100867,1.0,83,447.01614596590696,1181.9027328487682,83,736.3210151951612
1.0,568.338541918651,430.7497884208773,1120.6977712572152,87,1120.6977712572152,758958,2648.432583635172,1120.6977712572152,87,2648.432583635172,1.0,84,430.7497884208773,1120.6977712572152,84,568.338541918651
1.0,142.0283829653488,308.5749575460477,997.3627786890415,95,997.3627786890415,768006,2505.8124601685727,997.3627786890416,95,2505.8124601685727,1.0,85,308.5749575460477,997.3627786890416,85,142.0283829653488
1.0,254.98596415763453,265.9326867057932,919.5998038186456,102,919.5998038186456,776608,1707.389903295238,919.5998038186456,102,1707.389903295238,1.0,86,265.9326867057932,919.5998038186456,86,254.98596415763453
1.0,584.5727768318308,168.53150328810057,897.149994606737,106,897.149994606737,784502,1562.2771392910263,897.149994606737,106,1562.2771392910263,1.0,87,168.53150328810057,897.149994606737,87,584.5727768318308
1.0,376.87565854384934,136.36495092238087,810.3579503313499,117,810.3579503313499,793180,1398.7697527119315,810.3579503313497,117,1398.7697527119315,1.0,88,136.36495092238087,810.3579503313497,88,376.87565854384934
1.0,438.18803331936107,118.52357455363183,759.1523015105494,122,759.1523015105494,803019,1395.5107983627327,759.1523015105493,122,1395.5107983627327,1.0,89,118.52357455363183,759.1523015105493,89,438.18803331936107
1.0,579.4955809692535,248.34163210179446,899.1278186435591,107,899.1278186435591,811871,2262.561771564479,899.1278186435588,107,2262.561771564479,1.0,90,248.34163210179446,899.1278186435588,90,579.4955809692535
1.0,577.739424904995,156.0473255435993,873.6003431705295,109,873.6003431705295,819682,1793.0496051103905,873.6003431705293,109,1793.0496051103905,1.0,91,156.0473255435993,873.6003431705293,91,577.739424904995
1.0,425.4236457501765,187.40995034562576,831.7045903057143,114,831.7045903057143,828381,2067.915122866694,831.7045903057143,114,2067.915122866694,1.0,92,187.40995034562576,831.7045903057143,92,425.4236457501765
1.0,549.9267596633792,134.55588616630695,844.7945361500736,110,844.7945361500736,837909,1519.7431185801388,844.7945361500736,110,1519.7431185801388,1.0,93,134.55588616630695,844.7945361500736,93,549.9267596633792
1.0,573.3153260098251,313.03826987480085,902.9032178429657,108,902.9032178429657,847362,3055.727435847969,902.9032178429657,108,3055.727435847969,1.0,94,313.03826987480085,902.9032178429657,94,573.3153260098251
1.0,606.7830617146956,147.34450116642154,855.2360458936867,109,855.2360458936867,856675,1889.640075923386,855.2360458936867,109,1889.640075923386,1.0,95,147.34450116642154,855.2360458936867,95,606.7830617146956
1.0,588.9309994858849,137.45543570242154,791.1588569444399,117,791.1588569444399,865891,1709.6434061646735,791.1588569444399,117,1709.6434061646735,1.0,96,137.45543570242154,791.1588569444399,96,588.9309994858849
1.0,602.7001480878033,89.56772285005302,829.5334889991202,114,829.5334889991202,873895,1190.2172328095894,829.5334889991201,114,1190.2172328095894,1.0,97,89.56772285005302,829.5334889991201,97,602.7001480878033
1.0,662.4225358794051,242.44270491820876,941.8327986280059,101,941.8327986280059,884248,2784.424148775308,941.8327986280059,101,2784.424148775308,1.0,98,242.44270491820876,941.8327986280059,98,662.4225358794051
1.0,619.8654932603649,144.7094625604831,874.9161801384856,110,874.9161801384856,893856,1543.6581946736283,874.9161801384856,110,1543.6581946736283,1.0,99,144.7094625604831,874.9161801384856,99,619.8654932603649
1.0,251.9960435023099,139.0688762703979,801.2162716311428,119,801.2162716311428,902938,1386.7252513076728,801.2162716311428,119,1386.7252513076728,1.0,100,139.0688762703979,801.2162716311428,100,251.9960435023099
1.0,380.7253901459964,156.34842979519198,868.4299087851698,112,868.4299087851698,910981,1808.7735801160588,868.4299087851698,112,1808.7735801160588,1.0,101,156.34842979519198,868.4299087851698,101,380.7253901459964
0.9886363636363636,633.3667429886697,454.79741568954375,1121.3097562067655,88,1121.3097562067655,920156,3213.25634400958,1121.3097562067655,88,3213.25634400958,0.9886363636363636,102,454.79741568954375,1121.3097562067655,102,633.3667429886697
1.0,56.206432347062226,278.330139798544,979.4179876012386,100,979.4179876012386,929196,2550.9067464248214,979.4179876012389,100,2550.9067464248214,1.0,103,278.330139798544,979.4179876012389,103,56.206432347062226
0.98989898989899,625.6266191534896,371.64991444877245,979.3092510670359,99,979.3092510670359,938197,3228.9064226243,979.309251067036,99,3228.9064226243,0.98989898989899,104,371.64991444877245,979.309251067036,104,625.6266191534896
1.0,485.40896847212724,365.6663403589503,1072.4345717125696,94,1072.4345717125696,946813,2676.002045327702,1072.4345717125696,94,2676.002045327702,1.0,105,365.6663403589503,1072.4345717125696,105,485.40896847212724
1.0,601.4165173513221,194.14911864257914,946.2958181765213,104,946.2958181765213,957180,1745.6966911757265,946.2958181765213,104,1745.6966911757265,1.0,106,194.14911864257914,946.2958181765213,106,601.4165173513221
1.0,483.08180264211126,260.7551615584831,969.5471513396304,98,969.5471513396304,965896,2129.401330966637,969.5471513396304,98,2129.401330966637,1.0,107,260.7551615584831,969.5471513396304,107,483.08180264211126
1.0,609.0559518071741,186.1523490191253,906.9639618890078,109,906.9639618890078,974633,1827.294168148887,906.9639618890079,109,1827.294168148887,1.0,108,186.1523490191253,906.9639618890079,108,609.0559518071741
1.0,325.75793504524603,334.0783285779332,1021.4950809997584,96,1021.4950809997584,983326,2797.816982440416,1021.4950809997584,96,2797.816982440416,1.0,109,334.0783285779332,1021.4950809997584,109,325.75793504524603
1.0,63.573736590986925,198.68588686308144,904.5033157569474,108,904.5033157569474,992388,1956.4085407997354,904.5033157569471,108,1956.4085407997354,1.0,110,198.68588686308144,904.5033157569471,110,63.573736590986925
1.0,527.5721480744278,313.9068732126903,1049.536953210558,92,1049.536953210558,1001379,2327.3026327860466,1049.536953210558,92,2327.3026327860466,1.0,111,313.9068732126903,1049.536953210558,111,527.5721480744278
1.0,612.693929093611,230.65984505251478,991.9211912259649,102,991.9211912259649,1010341,2385.9431404252264,991.921191225965,102,2385.9431404252264,1.0,112,230.65984505251478,991.921191225965,112,612.693929093611
1.0,601.4374792864626,201.48892216794667,912.1527493149673,107,912.1527493149673,1019699,1960.417330003664,912.1527493149672,107,1960.417330003664,1.0,113,201.48892216794667,912.1527493149672,113,601.4374792864626
1.0,492.75698213649883,134.51371417531047,839.8155735474355,112,839.8155735474355,1028509,1351.8589549148855,839.8155735474355,112,1351.8589549148855,1.0,114,134.51371417531047,839.8155735474355,114,492.75698213649883
1.0,572.5687347697888,190.11476462406233,889.1085584423423,108,889.1085584423423,1037454,2033.1732535653648,889.1085584423423,108,2033.1732535653648,1.0,115,190.11476462406233,889.1085584423423,115,572.5687347697888
1.0,565.6858958243529,271.857207128744,978.5914213137876,99,978.5914213137876,1045731,2041.1198721085593,978.5914213137875,99,2041.1198721085593,1.0,116,271.857207128744,978.5914213137875,116,565.6858958243529
1.0,104.14446445032887,184.3966839532036,834.2408515294277,115,834.2408515294277,1055631,1376.1179567723839,834.2408515294277,115,1376.1179567723839,1.0,117,184.3966839532036,834.2408515294277,117,104.14446445032887
1.0,587.4629110609003,111.64276658761217,838.8537180431699,114,838.8537180431699,1063902,1229.2516889849526,838.8537180431699,114,1229.2516889849526,1.0,118,111.64276658761217,838.8537180431699,118,587.4629110609003
1.0,88.29697028616555,147.79158021720735,870.0648211461232,112,870.0648211461232,1072679,1270.5211566823216,870.0648211461232,112,1270.5211566823216,1.0,119,147.79158021720735,870.0648211461232,119,88.29697028616555
1.0,529.277097432289,103.80362806976088,818.7575649125961,119,818.7575649125961,1080504,1188.5598809326273,818.7575649125963,119,1188.5598809326273,1.0,120,103.80362806976088,818.7575649125963,120,529.277097432289
1.0,593.2430562960405,237.430270000671,926.7538116374036,105,926.7538116374036,1090039,2099.5795379792035,926.7538116374036,105,2099.5795379792035,1.0,121,237.430270000671,926.7538116374036,121,593.2430562960405
1.0,627.3150197192531,155.45329312056774,894.5460041856549,107,894.5460041856549,1099410,1894.0529778015784,894.5460041856549,107,1894.0529778015784,1.0,122,155.45329312056774,894.5460041856549,122,627.3150197192531
