TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/StdReturn
900000,9730.311398217349,11411.372191255614,9730.311398217349,7716.864077216794,25,7716.864077216794,25,998.5421017063472,84,9730.311398217349,84,9730.311398217349,0.0,11411.372191255614,0.0,998.5421017063472
910000,8883.692958963862,10895.707388099929,8883.692958963858,1836.1730398944883,25,1836.1730398944883,25,1859.710592590928,85,8883.692958963858,85,8883.692958963862,0.0,10895.707388099929,0.0,1859.710592590928
920000,9544.284260498454,11908.359541189046,9544.284260498453,7790.279088234388,25,7790.279088234388,25,1029.388475096448,86,9544.284260498453,86,9544.284260498454,0.0,11908.359541189046,0.0,1029.388475096448
930000,10023.4843757495,11416.084746809694,10023.4843757495,8200.94680045975,25,8200.94680045975,25,960.4683622380986,87,10023.4843757495,87,10023.4843757495,0.0,11416.084746809694,0.0,960.4683622380986
940000,10323.25875565874,11553.387311055867,10323.25875565874,8157.244945530928,25,8157.244945530928,25,889.4056831588186,88,10323.25875565874,88,10323.25875565874,0.0,11553.387311055867,0.0,889.4056831588186
950000,9217.57918412728,11774.346554687909,9217.57918412728,3653.8882172027165,25,3653.8882172027165,25,1968.3485486662878,89,9217.57918412728,89,9217.57918412728,0.0,11774.346554687909,0.0,1968.3485486662878
960000,9443.104232865417,11923.648024724436,9443.104232865413,1499.4938362443813,25,1499.4938362443813,25,2212.6634842446747,90,9443.104232865413,90,9443.104232865417,0.0,11923.648024724436,0.0,2212.6634842446747
970000,9489.630202280976,12149.746618993822,9489.630202280981,5652.577969839085,25,5652.577969839085,25,1313.4241445040495,91,9489.630202280981,91,9489.630202280976,0.0,12149.746618993822,0.0,1313.4241445040495
980000,9880.854472388624,12145.494763479124,9880.854472388628,8375.912096516142,25,8375.912096516142,25,1054.594826023572,92,9880.854472388628,92,9880.854472388624,0.0,12145.494763479124,0.0,1054.594826023572
990000,9963.292905767314,12040.568854011275,9963.292905767315,8108.529326136016,25,8108.529326136016,25,1142.0571451265312,93,9963.292905767315,93,9963.292905767314,0.0,12040.568854011275,0.0,1142.0571451265312
1000000,9208.149475165044,11675.09082320229,9208.149475165046,5269.634126028922,25,5269.634126028922,25,1496.1597508260331,94,9208.149475165046,94,9208.149475165044,0.0,11675.09082320229,0.0,1496.1597508260331
1010000,8964.849331686495,11929.44767723151,8964.849331686499,1289.6822600852997,25,1289.6822600852997,25,2731.6723949854804,95,8964.849331686499,95,8964.849331686495,0.0,11929.44767723151,0.0,2731.6723949854804
1020000,9307.915884589176,11828.860395193244,9307.915884589169,2006.990358745574,25,2006.990358745574,25,1791.7293233398502,96,9307.915884589169,96,9307.915884589176,0.0,11828.860395193244,0.0,1791.7293233398502
1030000,8885.75845416894,11579.362166174798,8885.758454168941,818.3512683786568,25,818.3512683786568,25,2633.866332655953,97,8885.758454168941,97,8885.75845416894,0.0,11579.362166174798,0.0,2633.866332655953
1040000,9796.540967311745,12100.424561846303,9796.540967311741,532.2623242623459,25,532.2623242623459,25,2298.50375094617,98,9796.540967311741,98,9796.540967311745,0.0,12100.424561846303,0.0,2298.50375094617
1050000,9534.460187149747,11481.076226343741,9534.460187149745,1878.6536861668624,25,1878.6536861668624,25,1903.6149438963776,99,9534.460187149745,99,9534.460187149747,0.0,11481.076226343741,0.0,1903.6149438963776
1060000,9550.801953181948,12289.979026011424,9550.801953181948,3993.4593077514487,25,3993.4593077514487,25,2070.746374429842,100,9550.801953181948,100,9550.801953181948,0.0,12289.979026011424,0.0,2070.746374429842
1070000,10630.499200004162,12207.220177401054,10630.499200004162,8468.266795449885,25,8468.266795449885,25,1087.6118742286758,101,10630.499200004162,101,10630.499200004162,0.0,12207.220177401054,0.0,1087.6118742286758
1080000,9377.704332374544,12055.776768047719,9377.704332374542,3828.8103098049605,25,3828.8103098049605,25,2190.358052563891,102,9377.704332374542,102,9377.704332374544,0.0,12055.776768047719,0.0,2190.358052563891
1090000,10136.365979142918,11859.715238695933,10136.365979142916,8209.913894005416,25,8209.913894005416,25,1150.8140605306342,103,10136.365979142916,103,10136.365979142918,0.0,11859.715238695933,0.0,1150.8140605306342
1100000,9166.528357228173,11497.260396917114,9166.528357228171,1083.3173569949533,25,1083.3173569949533,25,2262.9950751704428,104,9166.528357228171,104,9166.528357228173,0.0,11497.260396917114,0.0,2262.9950751704428
1110000,10071.925175660686,11823.766413938636,10071.925175660692,8051.880955536021,25,8051.880955536021,25,1109.8935369312644,105,10071.925175660692,105,10071.925175660686,0.0,11823.766413938636,0.0,1109.8935369312644
1120000,9335.789610493852,12473.135290688848,9335.789610493852,460.60927215883424,25,460.60927215883424,25,2670.575681765842,106,9335.789610493852,106,9335.789610493852,0.0,12473.135290688848,0.0,2670.575681765842
1130000,9686.01377712552,11713.297585276534,9686.013777125516,3335.140798806941,25,3335.140798806941,25,1610.7242632054463,107,9686.013777125516,107,9686.01377712552,0.0,11713.297585276534,0.0,1610.7242632054463
1140000,10550.51613674811,12542.132098181806,10550.516136748109,8598.290013196873,25,8598.290013196873,25,1214.2638829298473,108,10550.516136748109,108,10550.51613674811,0.0,12542.132098181806,0.0,1214.2638829298473
1150000,10184.785622112806,12201.934785989339,10184.785622112804,8469.956348210138,25,8469.956348210138,25,1146.9851762363676,109,10184.785622112804,109,10184.785622112806,0.0,12201.934785989339,0.0,1146.9851762363676
1160000,10076.179677940567,12281.535066346916,10076.179677940567,8038.253355465345,25,8038.253355465345,25,1293.0181023185105,110,10076.179677940567,110,10076.179677940567,0.0,12281.535066346916,0.0,1293.0181023185105
1170000,10253.049255457625,11960.673437676522,10253.049255457625,8047.041557057493,25,8047.041557057493,25,1163.5197299458252,111,10253.049255457625,111,10253.049255457625,0.0,11960.673437676522,0.0,1163.5197299458252
1180000,10259.927418443523,12638.556308991196,10259.927418443522,7118.545618445956,25,7118.545618445956,25,1348.6804240027511,112,10259.927418443522,112,10259.927418443523,0.0,12638.556308991196,0.0,1348.6804240027511
1190000,9476.172559063005,11965.612897251032,9476.172559063007,1210.9148502106373,25,1210.9148502106373,25,1960.531567285595,113,9476.172559063007,113,9476.172559063005,0.0,11965.612897251032,0.0,1960.531567285595
1200000,10625.024381577583,12550.959607803545,10625.024381577592,7964.160038251612,25,7964.160038251612,25,1351.49685576557,114,10625.024381577592,114,10625.024381577583,0.0,12550.959607803545,0.0,1351.49685576557
1210000,10298.561352492867,12368.691587549058,10298.561352492865,8501.90757625289,25,8501.90757625289,25,1100.2878981466085,115,10298.561352492865,115,10298.561352492867,0.0,12368.691587549058,0.0,1100.2878981466085
1220000,10025.715751173791,12677.350031239186,10025.715751173795,2452.1068731214555,25,2452.1068731214555,25,2117.7383504660424,116,10025.715751173795,116,10025.715751173791,0.0,12677.350031239186,0.0,2117.7383504660424
1230000,10203.569905037592,12366.126795674083,10203.569905037599,8342.017537521837,25,8342.017537521837,25,1209.6592475060468,117,10203.569905037599,117,10203.569905037592,0.0,12366.126795674083,0.0,1209.6592475060468
1240000,10902.698872013201,12447.940918318054,10902.6988720132,8265.747935067046,25,8265.747935067046,25,1072.9410005994237,118,10902.6988720132,118,10902.698872013201,0.0,12447.940918318054,0.0,1072.9410005994237
1250000,10287.744179166602,12917.861009130715,10287.7441791666,6537.16423840459,25,6537.16423840459,25,1534.3236768826346,119,10287.7441791666,119,10287.744179166602,0.0,12917.861009130715,0.0,1534.3236768826346
1260000,9633.30114394324,11658.370929304636,9633.301143943236,8283.200083129972,25,8283.200083129972,25,873.8167435962637,120,9633.301143943236,120,9633.30114394324,0.0,11658.370929304636,0.0,873.8167435962637
1270000,10436.563900418801,11908.024193529014,10436.563900418803,8942.300434110108,25,8942.300434110108,25,824.979575331659,121,10436.563900418803,121,10436.563900418801,0.0,11908.024193529014,0.0,824.979575331659
