TotalEnvSteps,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/__unnamed_task__/AverageReturn
1150000,11294.020345939472,25,6976.574357200322,25,0.0,1152.2175744665349,109,9371.878218575246,11294.020345939472,0.0,1152.2175744665349,9371.878218575248,6976.574357200322,109,9371.878218575246,9371.878218575248
1160000,11583.936481514613,25,6624.840728475138,25,0.0,1430.8895902852046,110,9305.662502512329,11583.936481514613,0.0,1430.8895902852046,9305.662502512329,6624.840728475138,110,9305.662502512329,9305.662502512329
1170000,11368.371162436657,25,5786.542171788636,25,0.0,1314.8998565271124,111,9667.228511521245,11368.371162436657,0.0,1314.8998565271124,9667.228511521245,5786.542171788636,111,9667.228511521245,9667.228511521245
1180000,11719.714382864317,25,7617.503508396376,25,0.0,1224.8179909722573,112,9568.900630145536,11719.714382864317,0.0,1224.8179909722573,9568.900630145534,7617.503508396376,112,9568.900630145536,9568.900630145534
1190000,11898.939448581812,25,7098.081750961341,25,0.0,1283.6139009430356,113,9577.101210637307,11898.939448581812,0.0,1283.6139009430356,9577.101210637311,7098.081750961341,113,9577.101210637307,9577.101210637311
1200000,11509.099421048893,25,7604.742299142118,25,0.0,1058.407481472724,114,9806.171619283137,11509.099421048893,0.0,1058.407481472724,9806.171619283139,7604.742299142118,114,9806.171619283137,9806.171619283139
1210000,11818.44879565984,25,8207.841369648702,25,0.0,1056.857443359991,115,10180.004062444286,11818.44879565984,0.0,1056.857443359991,10180.004062444286,8207.841369648702,115,10180.004062444286,10180.004062444286
1220000,12074.891126691045,25,6390.529618147645,25,0.0,1445.221206114013,116,9987.232067584657,12074.891126691045,0.0,1445.221206114013,9987.232067584653,6390.529618147645,116,9987.232067584657,9987.232067584653
1230000,12060.631384113847,25,6812.496697900336,25,0.0,1515.9747757561165,117,9510.170418501024,12060.631384113847,0.0,1515.9747757561165,9510.170418501028,6812.496697900336,117,9510.170418501024,9510.170418501028
1240000,11858.38771686978,25,6416.809442799995,25,0.0,1433.401943565289,118,9570.058770541676,11858.38771686978,0.0,1433.401943565289,9570.058770541676,6416.809442799995,118,9570.058770541676,9570.058770541676
1250000,12015.636617139693,25,6894.158858724238,25,0.0,1390.5168601707821,119,9461.362282015783,12015.636617139693,0.0,1390.5168601707821,9461.362282015785,6894.158858724238,119,9461.362282015783,9461.362282015785
1260000,12378.684906727261,25,6519.931259641987,25,0.0,1413.1651221164361,120,9879.059799127897,12378.684906727261,0.0,1413.1651221164361,9879.059799127896,6519.931259641987,120,9879.059799127897,9879.059799127896
1270000,12209.124708421823,25,2385.599461566606,25,0.0,1926.9576525035895,121,10256.572754848576,12209.124708421823,0.0,1926.9576525035895,10256.572754848576,2385.599461566606,121,10256.572754848576,10256.572754848576
1280000,12545.37466109714,25,7929.348324180977,25,0.0,1267.498873825574,122,10318.401742591346,12545.37466109714,0.0,1267.498873825574,10318.401742591346,7929.348324180977,122,10318.401742591346,10318.401742591346
